site YYMMMDD yyyy.yyyy __MJD week d reflon _e0(m) __east(m) ____n0(m) _north(m) u0(m) ____up(m) _ant(m) sig_e(m) sig_n(m) sig_u(m) __corr_en __corr_eu __corr_nu
P351 08DEC17 2008.9610 54817 1510 4 -114.7  -1539 -0.849395   4859868  0.451468  2692  0.606472  0.0083 0.000465 0.000642 0.001814  0.038691 -0.054471 -0.128178
P351 08DEC18 2008.9637 54818 1510 5 -114.7  -1539 -0.850267   4859868  0.451791  2692  0.603618  0.0083 0.000462 0.000633 0.001779  0.057912 -0.062434 -0.148699
P351 08DEC19 2008.9665 54819 1510 6 -114.7  -1539 -0.851581   4859868  0.450894  2692  0.600229  0.0083 0.000467 0.000645 0.001837  0.072124 -0.066586 -0.129626
P351 08DEC20 2008.9692 54820 1510 7 -114.7  -1539 -0.848832   4859868  0.453431  2692  0.600290  0.0083 0.000463 0.000632 0.001797  0.062467 -0.054518 -0.132307
P351 08DEC21 2008.9719 54821 1511 1 -114.7  -1539 -0.849273   4859868  0.453306  2692  0.608121  0.0083 0.000467 0.000632 0.001793  0.058585 -0.075405 -0.126656
P351 08DEC22 2008.9747 54822 1511 2 -114.7  -1539 -0.850938   4859868  0.450099  2692  0.607897  0.0083 0.000455 0.000622 0.001756  0.038502 -0.040580 -0.123282
P351 08DEC23 2008.9774 54823 1511 3 -114.7  -1539 -0.851586   4859868  0.452628  2692  0.603986  0.0083 0.000459 0.000631 0.001776  0.052964 -0.047539 -0.144892
P351 08DEC24 2008.9802 54824 1511 4 -114.7  -1539 -0.850753   4859868  0.452126  2692  0.610148  0.0083 0.000461 0.000627 0.001764  0.070145 -0.055317 -0.147566
P351 08DEC25 2008.9829 54825 1511 5 -114.7  -1539 -0.851337   4859868  0.451255  2692  0.609951  0.0083 0.000465 0.000635 0.001795  0.042968 -0.036887 -0.120440
P351 08DEC26 2008.9856 54826 1511 6 -114.7  -1539 -0.851745   4859868  0.452123  2692  0.606286  0.0083 0.000459 0.000623 0.001763  0.046574 -0.042329 -0.127735
P351 08DEC27 2008.9884 54827 1511 7 -114.7  -1539 -0.850897   4859868  0.450989  2692  0.610244  0.0083 0.000456 0.000622 0.001750  0.033588 -0.035676 -0.102553
P351 08DEC28 2008.9911 54828 1512 1 -114.7  -1539 -0.852885   4859868  0.451227  2692  0.608828  0.0083 0.000456 0.000625 0.001749  0.033639 -0.037232 -0.109429
P351 08DEC29 2008.9938 54829 1512 2 -114.7  -1539 -0.854437   4859868  0.449518  2692  0.605328  0.0083 0.000461 0.000626 0.001780  0.050007 -0.068735 -0.134975
P351 08DEC30 2008.9966 54830 1512 3 -114.7  -1539 -0.852425   4859868  0.453646  2692  0.603704  0.0083 0.000479 0.000645 0.001860  0.074937 -0.084084 -0.156453
P351 08DEC31 2008.9993 54831 1512 4 -114.7  -1539 -0.851354   4859868  0.451456  2692  0.609107  0.0083 0.000463 0.000628 0.001787  0.052403 -0.057833 -0.130967
